term,match1,match2,match3,match4,match5
centrum a to zinc,centrum advance,centrax,centrum singles-vitamin c,centrum singles-vitamin c,centrum pro nutrients
centrum select 50+,centrum singles-beta carotene,centrum singles-beta carotene,centrum singles-vitamin c,centrum singles-vitamin c,central nervous system
cepacol anesthetic,cepacol,cepacol,cepacol,cepacol,cepacol sensations cooling
cephalosporin c,cephaloridin,cephalotin,cephaloridine,cephaclor,cephalothin
cerebrolysin                       /00392001/,cerebyx,cerebrovase,cerelle,ceredase,cerezyme
cernitol,cernevit,cernevit,cernevit,cetirocol,retinol
cetaphil,ceta plus,ceta plus,cetapred,cetapred,cetapred
cetirizine w/pseudoephedrine,cetirizine,cetirizin,cetirizine hcl,cetirizinum,cetirizina
cetraxate,cetraxal,cetraxal,cetraxal,cetraxal,cetraben
chelidonium majus,chlordinium,"chloride, magnesium","chloride, magnesium",chininum,"chloride, ammonium"
cheracol,cheracol-d,cheracol-d,charcoal,cepacol,cheracol sore throat
cheston,cepton,cepton,celestone,celestone,celestone
chlordiazepoxide w/amitriptyline,chlordiazepoxide,chlordiazepoxidum,chlordiazepoxide [chemical/ingredient],chlordiazepoxide (substance),chlordiazepox hcl
chlorophyllin copper complex sodium,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form,chloramphenicol in topical dosage form
chlorphenesin carbamate,chlorphenesin,chlorphenesinum,chlorphenamine (substance),chlorphenesin (substance),chlorphenoxamine (substance)
chlorphenir w/dextrometh/guaifenesin/phen.pro,chlorpheniramine,chlorphenamin,chlorphen hd,chlorphen hd,chlorphen hd
chlorpheniramin polistire/hydrocod polistire,chlorpheniramine,chlorphen hd,chlorphen hd,chlorphen hd,chlorphen hd
cholesterol,cholestagel,cholesterol management,cholesterol management,cholesterol management,cholesterol management
choline magnesium trisalicylate,choline salicylate,choline esters,choline salicylate (substance),choline alfoscerate,choline/glutamine/inositol oral tablet
choline w/inositol,chiro inositol,choline esters,choline derivatives,choline theophylline,choline fenofibrate
chromagen,cromogen,cromogen,choragon,chloromag,chloromag
chromagen                          /00922301/,chromonar,chronulac,choragon,chromotrichia factor,chromium-51 edetate
cibaflam,cibral,citalopram,cicafem,acoflam,acoflam
cicletanine hydrochloride,cicletanine,cicletanide,cicletanine (substance),ciclesonide [chemical/ingredient],ciclesonide [chemical/ingredient]
cilastatin sodium,cilastatin and imipenem,cilastatin / imipenem,cilastatin/imipenem,"cilastatin, imipenem drug combination",cilastatin sodium/imipenem 250 mg-250 mg intravenous powder for solution
cinacalcet hydrochloride,cinacalcet hcl,cinacalcet,cinacalcet (substance),cinalog,cinalog
cirrus                             /01318001/,c,cinu,cipro,cipro,cipro
ciruelax,cipralex,citrucel,cidaflex,cidaflex,relpax
citradex,citravet,citroma,citroma,ciprodex,ciprodex
citramon                           /00388301/,citroma,citroma,citroma,citramag,citrolith
citrosan,citroma,citroma,citroma,irospan,irospan
clenil compositum                  /00548601/,clenia,clenia,clenia,clenil modulite,clenil modulite
clidinium bromide,aclidinium bromide,aclidinium brom,aclidinium bromide (substance),clidinium and psycholeptics,umeclidinium bromide
clinadil,clindacin,clindagel,clindacin,clindagel,clindacin
clobol-g,clobetasol,clobutinol,clobetasol.,clobetasol.,clobex
clofibric acid,clofibride,"clofibric acid, ethyl ester",citric acid,clofibrate,clofibrato
clognil plus,clofenil,clofenil,clofenil,corzall plus,corzall plus
clonalin,clonidin,clonidin,clonidin,clonidina,clonidine
clopidogrel hydrochloride,clopidogrel,clopidogrelum,clopidogrel in oral dosage form,clopidogrel [chemical/ingredient],clopidogrel (substance)
co-dilatrend,dilatrend,co-diovan,co-danthramer,co-danthrusate,colgate
co-pyronil,co-cyprindiol,co-prenozide,co-proxamol,co-dydramol,co-dydramol
codeine contin,codafen continus,codafen continus,codafen continus,codeine and ibuprofen,codeine 15mg/acetaminophen 300mg cap
codeine phosphate sesquihydrate,codeine phos,codeine,codeine phosphate/ibuprofen 12.8 mg-200 mg oral tablet,codegest,codegest
colistimethate sodium,colistimeth sod,colistina,colistine,colistina,colistine
colon operation,colocort,colocort,colocort,colocort,colocort
colopeg                            /00877901/,cologel,colofac,colofac mr,colocort,colocort
colsprin,sloprin,sloprin,sloprin,solprin,capsorin
"combinations and complexes of aluminium, calc","combinations and complexes of aluminium, calcium and magnesium compounds",combinations of penicillins,combinations of antineoplastic agents,combinations,combinations
combizym                           /00185101/,combigan,combigan,combivir,combivir,combigan
condom,condylox,acondro,acondro,acondro,acondro
conivaptan hydrochloride,conivaptan,arginine hydrochloride,conivaptan [chemical/ingredient],conivaptan (substance),control
contraceptives nos,contraceptives for topical use,contac sinus,contac sinus,contrast media,contimin
convallaria majalis extract,convalis,contact laxatives in combination,coal tar ext,contact laxatives,coal tar ext/allantoin
cophene                            /00566301/,cop,copd,copd,cp,cop-1
copyrkal,cop,cp oral,cp oral,cortalo,cortalo
coronary angioplasty,coro-nitro,coro-nitro,coroday mr,corlanor,corsodyl
corozell,corzall,corzall,coropres,corzide,corzide
cortafriol,cortisol,cortisol,cortisol,cortisol,cortisol
corticetin,corticorelin,corticaine,corticaine,corticaine,corticaine
cosaichill,cosamin,cosamin,cosuric,cosmocol,cosmocol
cough suppressants excl. comb. with expectora,"cough suppressants, excl. combinations with expectorants",cough suppressants and expectorants,cough suppressants and mucolytics,cough nurse,coughtuss
coughcode,cough out,cough-x cough relief,cough-x cough relief,cough-x cough relief,cough-x cough relief
covomycin,colomycin,colomycin,cortomycin,cortomycin,cortomycin
crampex                            /00514201/,crantex,crantex,crantex,crantex,crantex
cucurbita pepo,cupric sulphate,cupric sulfate,cucalyptol,carba xp,carba xp
cyamopsis tetragonoloba gum,cyamepromazine,cya,cya,cyamemazine,capsin
cyanocobalamin w/pyridoxine,cyanocobalamin,cyanocobalamin preparation,cyanocobalmin,cyanocobalamin co57,cyanocobalamin tannin complex
cycloph w/doxorub/prednis/rituximab/vincrist,cyclosporine a,cyclosporine a,cyclophenil,cyclosporin a,cyclosporin a
cysteine,cysteamine,cysteamine,cysteinamine,cysteinamine,cystrin
cysto,cystagon,cystagon,cayston,cystospaz,cystocalm
cytochrome c,cytomel,cetohyroxamic acid,cytotec,cytotec,cytosar u
cytoflavin,lactoflavin,cytoxan,cytovene,cytovene,cyticholine
daily vitamins,daily hist,daily hist,dairy ease,dala,"acid, vitamin a"
dalmacol,alacol,alacol,alacol,alacol,alacol
daren,adren,adren,adren,darifenicin,dabrafenib
daslin,dalacin,dayli,daonil,dayli,dasatinib
deanxit                            /00428501/,deanol,det,deanase,dt,anx
debrumyl,demanyl,dermalo,debrisoquin [chemical/ingredient],debrisoquin,debrisoquina
defenac-p,defen-la,defen-la,defanac,defanac,defend ii
deltazine with epinephrine,deltalin,delta thc 09,deltasone,deltasone,delta-methorphan
dental treatment,denticare,denticare,denticare,denticare,denticare
depsol plus,dialose plus,docusol plus,docusol plus,docusol plus,docusol plus
desenfriol d,deseril,desril,desonide,desonide,desonil
desogestrel w/estrogen nos,desogestrel and estrogen,desogestrel,desogestrel (substance),desogestrel / ethinyl estradiol,desogestrel / ethinyl estradiol
despa                              /01712801/,des,des,des,despec,despec
detajmium bitartrate,deta,detemir,detamethasone,detamethasone,detamethasone
dexamethasone sodium metasulfobenzoate,dexamethasonum,dexamethasonum,dexamethasonum,dexamethasonum,dexamethasonum
dexeryl,dexodryl,dexodryl,dexodryl,desyrel,dexedrine
dexorange                          /01750401/,dex,dexol,dexol,dexol,dexasone
dextran + glukos,dextran,dextranomer,dextrogel,dexilant,dextranomer topical topical paste
dextriferron,dextromethorfan,dextrometorfano,dextropropoxifeno,dextrosulfenidol,deferipron
dextromethorphan w/pseudoephedrine,dextromethorphan,dextromethorphanum,dextrometh/pseudoephed,dextromethmorphan,dextromethorphan (substance)
dextrose in lactated ringer's,dextrose,dextrose,dextrose,dextro energy,dextromoramide tart
dextrose w/potassium chloride,dextrose,dextrose,dextrose,"dextrose, unspecified form","dextrose, unspecified form"
diabiformine,diabiom,diamorphine,diabinese,diisopromine,diabecline
dianavit,kanavit,diar-aid,diacomit,darunavir,dixarit
dibrompropamidine isetionate,dibrompropamidine,dibrompropamidine,dibrompropamidine (substance),dibrompropamidine (substance),dibromopropamidine
didrokit                           /01103501/,didronel,didronel pmo,ddt,dt,didrogesterona
difilin                            /01148101/,difil g,difil g,dificlir,dificid,diflucan
dimecrotic acid,iocarmic acid,acetrizoic acid,citric acid,diatrizoic acid,etacrinic acid
dinaciclib,cidacin,doxiciclina,doxiciclina,nacl,nacl
diovan triple,diovan,diovan hct,diovan hct,ditropan xl,diosmin preparation
diphenoxylate hydrochloride,diphenoxylate,diphenoxylic acid,diphenyl,"diphosphonate, dichloromethylene",diphenylglyoxal superoxide
divina                             /00714301/,diva,divigel,dv,dv,dica
dl-alpha tocopheryl acetate,dl-alpha-methylphenethylamine,dl-alpha-difluoromethylornithine,dl-alpha-difluoromethylornithine,dl-tropyltropate,dl-tropyltropate
docosahexaenoic ac w/eicosapenta ac/tocophero,docosanol,docosanol topical,docosanol [chemical/ingredient],docosan-1-ol,docosyl alcohol
dolmina                            /01047201/,dolmar,dolmar,dolmatil,dolofin,dormin
dolocordralan                      /01582501/,dolocid,dolono,doloracin,doloracin,dolocodon pr
dona                               /00336901/,donatuss dc,donatuss dc,donatuss dc,donatuss dc,donatuss dc
dreisavit                          /00844801/,des,des,des,dst,dristan
dronedarone hydrochloride,dronedarone hcl,dronedarone,dronedarone (substance),dronabinol,dronabinol [chemical/ingredient]
drugs for treatm. of hyperkal. & hyperphospha,drugs for treatment of hyperkalemia and hyperphosphatemia,drugs for treatment of lepra,drugs for treatment of lepra,drugs for treatment of hypoglycemia,drugs for treatment of hypercalcemia
dulcodos,dulcoease,dulcoease,dulcolax,dulcolax,dulco-lax
duogynon simplex,duogesic,duogastrone,duromine,duotan pd,duotan pd
duxor                              /00679301/,d,dlux,durad,duopa,duocare
ecdylin,condyline,evoclin,evoclin,evoclin,zydaclin
ecotin,ecotrin,ecotrin,ecotrin,ecostatin,ecostatin
ecozyme,ecoza,ecoza,cotazyme,econazole,econazole
electopen iny,elcatonin,electrolyte,electrolyte solutions,electrolytes in combination with other drugs,electrolytes in combination with other drugs
electrophoresis,electrocortin,electrolytes,electrolyte solutions,elektrocortin,electrolyte (substance)
emtix,fematrix,demix,emtriva,metenix,emtexate
emuliquen simple,emulsoil,emulsif oint,emulsif,selenium disulphide,selenium disulfide
enalapril maleate w/ lercanidipin hcl,enalapril and lercanidipine,enalapril mal,enalapril and nitrendipine,enalapril [chemical/ingredient],enalapril / hctz oral tablet
enalaprilat,enalaprila,enalapril,enalaprilum,enalapril and diuretics,enalapril (substance)
eno fruit salts                    /00473401/,entuss,entuss,encort,encort,encort
enteral nutrition,general nutrients,entex t,entex t,enterocina,entex liquid
enterogastrone,entercote,entercote,entercote,entereg,entresto
enzoflam,ezol,etizolam,ezol,enzone,enzone
enzymes nos w/vitamins nos,enzymes,enzymes,enzymes,enzymes,enzymes
epacaps,pacaps,pacaps,palcaps,panocaps,epsilcapramine
epaderm                            /01355901/,epaned,e,e,epavudine,eparina
ephedrine hydrochloride,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer
epinephrine hydrochloride,epinephrine,epinephrine,epinephrine,epinephrine,epinephrine
escherichia coli lysate siccum,esclim (obsolete),estriol,estriol,esperal,ethylmercurithiosalicylic acid sodium salt
esmolol hydrochloride,esmolol,esmolol [chemical/ingredient],esmolol (substance),esmya,ethyl chloride
essentiale                         /00390501/,essential care,essian,essian,esperal,eslectin
estramustine phosphate sodium,estramustine phos,estramustina,estramustine,estramustine (substance),estramustinum
estrotest,estratest,estratest,estrogens,estrogens,estra-testrin
estroven                           /02150801/,estrone,estrone,estrona,estrona,estrogel
ethenzamide w/herbal extract nos,ethenzamide,"ethenzamide, combinations with psycholeptics","ethenzamide, combinations excl. psycholeptics",ethezyme,ethezyme
ethylbenzhydramine,ethenzamide,ethyl hydroxybenzoate,ethylene imines,ethyl aminobenzoate,ethyl aminobenzoate
eucalyptus globulus,eucalyptol,eucapur,eucalyptol [chemical/ingredient],eatg,eucreas
euclide-m,emulsiderm,elidel,bucalcide,bucalcide,bucalcide
excedrin p.m.                      /00607001/,excedrin pm,excedrin pm,excedrin pm,excedrin,excedrin
factor iii (thromboplastin),factor i human,factor viii (substance),factor xiii transamidase,factor xiii a-subunit,factor viii
faktu,fasturtec,fatal-plus,fat emulsion,fat emulsions,flavoxatum
famucaps,amca,pacaps,diffucaps,fampyra,alu-cap
faodile,foille,flodil,foille,foille,foille
fefol z,fefol,fefol,fefol,ferfolic sv,feosol
felodipine w/metoprolol,felodipine / metoprolol,felodipine er,felodipine,felodipine / ramipril,felodipinum
felsol                             /00117801/,feso,felbatol,felimazole,felogen xl,feosol
femilar,femara,femiron,femiron,feminax,feminax ultra
fenoterol w/ipratropium bromide,fenoterol and ipratropium bromide,fenoterol/ipratrop,fenoterolum,fenoterolum,fenoterolum
fenpiverinium bromide,fenpiverinium,prifinium bromide,fenprocumon,fenoperidine,fenprocumone
ferli-6,fedril,fedril,ferfolic sv,ferfolic sv,fetrin
ferric ammonium citrate w/folic acid/vitamin,ferric ammonium citrate,ferric ammonium citrate [chemical/ingredient],ferric ammonium citrate (substance),ferrous amino acid chelate,ferric-citric acid
ferric chloride,ferric hydroxide,ferrous chloride,ferric citrate,ferric saccharate,ferric citrate anhydrous
ferrifol                           /00346301/,fefol,fefol,fefol,ferrogels,ferrogels
ferritin,ferristene,ferrotsin,ferrimin 150,ferrimin 150,ferotrin
ferrocholinate,ferrocite,ferronate,ferrocite,ferrosuccinate,ferrocite f
ferrous fumarate w/vitamins nos,ferrous fumarate,ferrous fumarate,ferrous fumarate (substance),ferrous fumarate (substance),ferrous fumarate oral tablet
ferrum fol,ferr sulf,ferr fumar,ferumoxsil,ferr glucon,ferr fumar/folic acid
ferrum hausmann fort,ferrous fumarate,ferrous fumarate,ferrous carbonate,ferrous gluconate,ferrex 150 forte
fesovit                            /00508001/,feso,fesoterodine,fesoterodine fumar,fesoterodine (substance),fesoterodine [chemical/ingredient]
fexofenadine w/pseudoephedrine,fexofenadine,fexofenadine hcl,fexofenadine [chemical/ingredient],fexofenadine (substance),femodene ed
finalgon,firmagon,finafta multi oral,finafta multi oral,finafta multi oral,finafta multi oral
fiorinal-c 1/4                     /00141301/,fiorinal,fiorinal,fiorinal,fiorinal,fiortal
fk,f,frankie avalon's zero pain,frankie avalon's zero pain,"ferrate(2-), pentakis(cyano-c)nitrosyl-, (oc-6-22)-",furosemide 40 mg / k+ 8 mmol extended release oral tablet
flatoril                           /00807201/,flatulex,flodil,flamatrol,flamatrol,flamatrol
flex-all                           /01405101/,flextra,flexeril,flexi-melt,flexotard mr,flexotard mr
flexicamin b12                     /01467701/,flexin-,fleroxicin,flexi-melt,fleroxacin,flextra plus
floradix,foradil,flodil,flomax,fluoridex,fluoridex
flupentixol dihydrochloride,flupentixol hcl,flupentixolo,flupentixol,flupentixol decan,flupentixolum
fluprednidene acetate,fluprednidene,fluprednidene,fluprednidene (substance),fluprednidene (substance),fluphenazine decan
flurbiprofen sodium,flurbiprofenum,flurbiprofenum,flurbiprofenum,flurbiprofenum,flurbiprofeno
folic acid w/vitamin b12 nos,"folic acid, combinations",folic acid analogues,folic acid preparation,folicet,folitab
folic acid w/vitamins nos,"folic acid, combinations","folic acid analogs, antimetabolites",folic acid preparation,folicet,"folinate, calcium"
foraseq                            /01558501/,forane,foraven xl,fortabs,fortabs,forsteo
formoterol w/budesonide,formoterol and budesonide,formoterol,formoterolum,formoterol / mometasone,formoterol/mometasone
fortifer,forteo,fortral,fortamet,fortesta,fortical
fortrans                           /01064301/,fortabs,fortabs,fortabs,fortabs,fortaz
fosfomycin calcium,fosfomycinum,fosfomycin,fosfomicina,fosfomycin [chemical/ingredient],fosfomycin (substance)
fosfructose trisodium,fosfestrol tetraso,fosfato de poliestradiol,fosfestrol,fosfocreatine,fosfesterol
fosinopril w/hydrochlorothiazide,fosinopril,fosinopril sod,fosinopril and diuretics,fosinopril [chemical/ingredient],fosinorm
franzbranntwein                    /01117101/,franol,franol plus,frankie avalon's zero pain,fraxinine,fraxinine
fresubin,frusene,frusemid,frusetic,frusid,froben
frosst 282,ros,factor 8,froop,frova,froop co
galenic /ibuprofen/paracetamol/,galebon,galenomycin,galenomycin,galenomycin,galenomycin
galenic /ichthammol/zinc oxide/,galenamox,galenomycin,galenomycin,galenomycin,galenomycin
galenic /passiflora/valerian/,galenphol,galfer,galfer,galenomycin,galenomycin
ganoderma lucidum,ganda,ganda,ganda,ganda,ganda
garasone                           /00747101/,garasol,garasol,garasol,garasol,garasol
gastrogel,gastrodenol,gastromol,gastroflux,gastrocote,estrogel
gastrointestinal tube insertion,gastroentericanis biocanina,gastric secretion test diagnostic agents,gastro-entericanis biocanina,gastro entericanis biocanina,gastrese-la
gelafundin,glafenin,geangin,glafenine,gelofusine,preglandin
gelafundin                         /00648401/,gelatin,gelaspan,gelusil,gla,gelatin agents
gelsemium sempervirens,gelato perio rinse,gelusil,gelusil,genesis,genesis
gemifloxacin mesilate,gemifloxacin,gemifloxacin (substance),gemifloxacin [chemical/ingredient],gemigliptin,gemcitabina
general anaesthesia,general nutrients,generlac,genexa,genebs,genexa
gentamicina                        /01594801/,gentamicin,gentamicin,gentamicin,gentamicin,gentamicin
geritol                            /00543501/,gerimal,gericet,germolene,geref,geref
gik solution,i.v. solutions,isoptin,grisovin,giotrif,griseofulvin
gimeracil,gerimal,pipracil,seractil,gingera,gedocarnil
ginkgo biloba leaf dry extract,ginkgo folium,gingi med,gingicare,gingi-aid,gingicaine
glandosane,gladase,gladase,ganda,ganda,ganda
glottyl,ergotyl,glucotrol,glo-sel,golytely,golytely
glucerna,glucagen,glucose,glucose,glucamet,glucagon
glucose w/heparin,glucose,glucose,glucose,glucophage sr,glucophage
glucurolactone,glucovance,glucovance,glucagone,glucojuice,glucagon
glutaral,glutathione oral tablet,glusartel,guaran,glutamine,glucitol
glyceryl iodide,glyceryl t,glyceryl t,glyceryl trinit,glyceryl trinit,glyceryl trinitrate
glycyrrhiza glabra,glycyrrhizin,glycyram,glycyrrhetin,glycopyrronium brom,glycopyrronium brom
goshajinkigan,gosaveg,gonak,gsh,goserelin,goserelin (substance)
granulocyte colony stimulating factor,granulocyte colony stimulating factor 3 (cho cell derived),granulocyte colony-stimulating factor lenograstim,granulocyte colony-stimulating factor pegfilgrastim,granocyte-,granulex
hadensa,haes,thaden,adenoscan,adenosina,haelan
halflytely & bisacodyl bowel prep kit,halfan,half sinemet cr,half-betadur cr,halobetasol,haldol
halibut                            /01067901/,haliborange,haliborange,halcimat,halog,ibu
hall's mentho-lyptus,halls defense,halls defense,halls defense,halls breezers,halenol
haloperidol lactate,haloperidol decan,haloperidol,haloperidol (substance),haloperidolum,haloperidol in oral dosage form
hamamelis virginiana,hamarin,halaven,hes,hmm,hms
hamamelis virginiana extract,hamarin,magnesium aluminosilicate hydrate,artemisinin antimalarial,hmm,hms
hamamelis virginiana liquid extract,hamarin,amlodipine valsartan drug combination,artemisinin antimalarial (product),"amlodipine, valsartan drug combination",hms
hangekoubokutou,harmogen,hatg,ng,handclens,handclens
haymine,hypamine,hypamine,hydramine,hydramine,halopyramine
hedera helix leaf,hedex,hederae helicis folium,hedex ex,hedex ibuprofen,hedex ibuprofen
helicidine,clinidine,clinidine,clinidine,clinidine,clinidine
helmiben                           /01549801/,helium,helixate,helium 4,emb,heroin
hemarate                           /01030601/,hemabate,hemax,hemax,hemax,hemax
hemicraneal                        /01771901/,hemel,hemril,hemril,hemril,hemril
hemo                               /06143301/,hemox a,hemofil m,hemofil,hemorid,hemorid
hemojern,hemorid,hemoban,hemorid,hemorid,hemorid
henetix                            /02220601/,hedex,hexite,e,hexetidine,hexetidine
heparin sodium in dextrose,heparin sod,heparin sod,heparinoid,heparin co factor i,heparin group antithrombotic drugs
hexalyse                           /01270001/,hexalen,hexafed,hexafed,hexasol,hexasol
hi-alarzin,hidralazina,halfprin,halfprin,hydralazin,halfprin
histamine,mistamine,distamine,histamine di-hcl,histine d,histine-d
hoggar                             /00175501/,hoac,hoac,hongos,honvan,hhr
holidryl,choledyl,hold dm,ovidrel,siladryl,siladryl
hosboral bronquial,hyosol,hemoglobin crosfumaril,hidroxicloroquina,oxsoralen,oxsoralen
humuline long,humulin,humulin,humulin,humulin,humulin
hydrocodone w/homatropine,hydrocodone cp,hydrocodone hd,hydrocodone cp,hydrocodone hd,hydrocodone cp
hydrophilic,hydrisalic,hydrisalic,hydro-pc ii,hydro-pc ii,hydro-pc ii
hydroxymethylnicotinamide,hydroxymetholone,hydroxymycin,hydroxyacetanilide,hydroxymethylbenzene,hydroxyethylstarch
hyoscine hydrochloride,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
hythiol c                          /00654801/,hc,hc,hytone,hytone,hytone
iberet,liberate,liberate,kineret,fibertab,ibenzmethyzin
ibuprofen arginine,ibuprofen lysine,ibuprofen,ibuprofen,ibuprofen,ibuprofen
idotyl,dioctyl,dioctyl,idox in dimethyl sulfox,adcortyl,lidothol
idroplurivit,idroflumetiazide,idrolax,idrocilamide,idu,idu
imatinib mesilate,imatinib mesil,imatinib methansulfonate,imatinib,imatinibum,imatinib (substance)
imidafenacin,imidamine,imidamine,darifenacin,darifenacina,darifenacine
imipenem cilastatin,imipenem - cilastatin,imipenem and cilastatin,imipenem 250 mg / cilastatin 250 mg injection,imipenem 500 mg / cilastatin 500 mg injection,imipenem 500mg/cilastatin 500mg powder for infusion solution vial
immunoglobulin,immunoglobulins,"immune globulin, rh","immunoglobulins, normal human",immunoprin,"immunoglobulins, normal human, for extravascular adm."
immunology test,immunostimulants,immunostimulants,immunocyanin,immuran,immukin
imudon,ibudone,ibudone,ibudone,ibudone,ibudone
indocyanine green,indocid r,indocid r,indocid r,indocid r,indometacine
indole-3-carbinol,indolar,indolar,indolar,indolar,indole-3-carboxylic acid tropine ester
infloran                           /01142401/,inflectra,ino,ino,ino,inflexal v
infludo,influvac desu,influvac desu,infadrops,inflamase forte,inflamase forte
influenza immunisation,influenza,influenza,influenza vaccines,"influenza, live attenuated","influenza, inactivated, whole virus"
infrared light,infaderm,inderal,infacol,questran light,inferax
infukoll hes,infumorph,infuvite,infuvite,infuvite,infuvite
inner health plus dairy free,bile and liver therapy drugs,interferon alfa (human leuk. derived),thiethylperazine in oral dosage form,inderal la,inulin and other polyfructosans
insulin human biosynthetic,insulin human,insulin human,insulin human,insulin human,insulin human
insulin human semisynthetic,insulin human,insulin human,insulin human,insulin human,insulin human
insulin human zinc suspension,insulin human,insulin human,insulin human,insulin human,insulin human
insulin porcine zinc suspension (crystalline),insulin porcine,insulin porcine,insulin porcine,insulin porcine,insulin glulisine (recombinant dna origin)
insulin w/isophane insulin,insulin porcine,insulin porcine,insulin porcine,insulin porcine,insulin human
"insulins and analogues,intermediate-acting","insulins and analogues for injection, intermediate-acting",insulins and analogues,"insulins and analogues for injection, fast-acting","insulins and analogues for injection, long-acting",insulins and analogues for inhalation
interleukin-1,interleukins,interleukin-1 trap,interleukin-11 (2-178),interleukin-11 precursor,interleukin-1 (il-1) trap
intetrix,integrin,integrelin,integrilin,interfb,interfb
inyesprin                          /00657701/,inspra,nesp,nys,nys,nys
irocophan,irospan,irospan,irospan,irospan,irospan
iron amino acid chelate,iron oxide saccharated,iron oxide (saccharated),iron ammonium citrate,iron & folic acid,iron & folic acid
iruxol                             /00227001/,irofol,irofol,irofol,ircon,ircon
ispaghula,ispag husk,ispaghula/senna fruit,ispaghula/senna fruit,ispaghula/senna fruit,"ispaghula, combinations"
ispaghula husk,ispag husk,ispaghula/senna fruit,ispaghula/senna fruit,ispaghula/senna fruit,"ispaghula, combinations"
joint fuel,joint-flex max,jinteli,jinteli,jinteli,jinteli
jointcare,joint-flex max,jinarc,jintan,folicare,oto care
jointflex                          /01758701/,joint-flex max,oflx,nflx,ifex,oflx
jonosteril,closteril,closteril,fostril,jinteli,jinteli
jonosteril                         /00351401/,oil,e,e,introl,introl
jonosteril                         /01263001/,oil,e,e,introl,introl
juniperus communis,junifen,junifen,junifen,junifen,junifen
k-y jelly,k-lyte cl,k-lyte cl,kwell,k-lyte/cl,k-lyte/cl
kakkon-to,kaon,kaon-ci,kaon-cl,kaon-ci,kaon-cl
kalioral                           /01164701/,kalbitor,ki,ki,aloral,alora
kalium-magnesium-asparaginat,kaliumiodid,kaliumiodid,kaliumiodid,kalziumkarbonat,kalziumkarbonat
keltican,ketacine,keflin,ketamin,ketodan,ketodan
keltican                           /00619201/,kelanu xl,keflin,ki,keloc sr,etn
kidoperi,kie,kie,kie,kie,kie
kodamid                            /00210701/,ki,ki,ki,dmi,kokain
kombipak ii,komil,kombiglyze,kombiglyze,kovia,kovia
korean ginseng,kininogenase,kogenate,orbenin,kora liquid,rennie
kyorin ap 2,ki,ki,ki,kynamro,kovia
lactinex                           /00203201/,lactaid,lactoflavine,lactitol,lactrase,lactic acid
lactobacillus bulgaricus,lactobacillus casei factor,lactobacillus acidophilus/pectin oral capsule,lactocal,lactocal,lactocal
lactobacillus casei,lactobacillus casei factor,lactocal,lactocal,lactocal,lactocal
lactobacillus nos w/nicotinamide/pyridoxine h,lactobacillus casei factor,lactobacillus acidophilus/pectin oral capsule,"lactic acid, unspecified form","lactic acid producing organisms, combinations",lactocal
lactobyl,lactocal,lactocal,lactocal,lactocal,lactocal
lamivudine w/nevirapine/stavudine,lamivudine / nevirapine / stavudine,lamivudine / nevirapine / zidovudine,lamivudine and nevirapine and stavudine,lamivudine + zidovudine + nevirapine,lamivudina
lanoconazole,lansoprazole,lansoprazoles,lanoxin,lonazolac,lanacane
laropiprant,larodopa,largon,lariam,laronidase,laboprin
laryngarsol,laryngojet,laryngojet,laryngojet,largactil,garasol
lasix-k,lasix,lasikal,lasix (tn),lasonil,latrix
latamoxef sodium,latamoxefum,latamoxef,lyapolate sodium,latamoxef (substance),latanoprostum
lavandula angustifolia,lavandulae aetheroleum,lazanda,lazanda,lantus,lamivudine and raltegravir
lavandula latifolia oil,lavandulae aetheroleum,lazanda,lazanda,laki lorand factor,lanolin-mineral oil topical
laxbene,paxene,lax-ease,laxoberal,lasofoxifene,lamprene
lefax,lemlax,leucomax,leveraxo,lotemax,lflx
legalon,lergoban,legacy,legacy,legacy,legacy
levocarnitine hydrochloride,levocarnitine,levocarnitine acetyl,levocarnitin,levocarnitina,levocarnitinum
levodopa w/benserazide,levodopa,levodopa [chemical/ingredient],levophed bitartrate,levodopa (substance),levocabastin
levomepromazine hydrochloride,levomepromazine,levomeprom hcl,levomeprazine,levomepromazina,levomeprazin
ligustrazine,listerine,listerine,isobutrazine,vistazine,lustra
limb immobilisation,limbitrol,limbitrol,libetist,libetist,"ampicillin, combinations"
linitul,lipantil,libanil,linesterol,linesterol,linestrenol
lipactin,lipantil,lipanthyl,lipiarmicin,lipiarmycin,u-lactin
lipovitan                          /00197101/,lipostat,lipobay,lipofen,liposic,lipo pge1
litalgin                           /00320201/,litak,litarex,lta,lta,lta
liver hydrolysate,liver therapy drugs,"liver therapy, lipotropics",lido,lido,lido
lobacin,lobac,lobac,oubain,laboprin,laboprin
lomifylline,bamifylline,lomefloxacine,lomefloxacine,lollicaine,lollicaine
longbalsem,longtec,flonase,flonase,flonase,long-acting sulfonamides
lotrial d                          /06276001/,lotrel,lotrel,lotriderm,lotriderm,lotriderm
lumbro kinase,urokinase,luminal,abbokinase,lumiracoxib (substance),lumigan
lumefantrine,memantine,lumen c,memantin,ludent,ludent
