term,slct,second_class,match1,match2,match3,match4,match5
insulin aspart protamine,1,,insulin aspart,insulin aspart,insulin-aspart,insulin-aspart,"insulin, porcine"
insulin human biosynthetic,1,,insulin human,insulin human,insulin human,insulin human,insulin human
insulin human semisynthetic,1,,insulin human,insulin human,insulin human,insulin human,insulin human
insulin human zinc suspension,1,,insulin human,insulin human,insulin human,insulin human,insulin human
insulin init,1,,insulin bovine,insulin bovine,insulin bovine,insulin bovine,insulin (swine)
insulin isophane bovine,1,,insulin bovine,insulin bovine,insulin bovine,insulin bovine,insulin glulisine (substance)
insulin isophane porcine,insulins and analogues,,insulin lispro recombinant,insulin lispro recombinant,insulin lispro recombinant,insulin purified porcine,insulin purified porcine
insulin lispro protamine suspension,1,,insulin lispro protamine recombinant,insulin lispro protamine recombinant,insulin lispro protamine recombinant,insulin lispro (rdna origin),insulin lispro (rdna origin)
insulin porcine zinc suspension (crystalline),1,,insulin porcine,insulin porcine,insulin porcine,insulin porcine,insulin glulisine (recombinant dna origin)
insulin w/isophane insulin,insulins and analogues,,insulin porcine,insulin porcine,insulin porcine,insulin porcine,insulin human
insulin zinc suspension,insulins and analogues,,insulin lispro,insulin lispro,insulin lispro,insulin porcine,insulin glulisine
insulin zinc suspension (crystalline),insulins and analogues,,insulin pork,insulin pork,insulin pork,insulin pork,insulin glulisine (substance)
"insulins and analogues,intermediate-acting",1,,"insulins and analogues for injection, intermediate-acting",insulins and analogues,"insulins and analogues for injection, fast-acting","insulins and analogues for injection, long-acting",insulins and analogues for inhalation
interleukin-1,1,,interleukins,interleukin-1 trap,interleukin-11 (2-178),interleukin-11 precursor,interleukin-1 (il-1) trap
intetrix,Non,,integrin,integrelin,integrilin,interfb,interfb
intrasite                          /01315101/,Non,,intratect,intratect,intrinsa,intraven,intraven
intrauterine contraceptive device,1,,intrauterine contraceptives,intratect,intrarosa,intron a,intraven
investigational drug,Non,,invega,invita d,inversine,inverted sugar,invert sugar
inyesprin                          /00657701/,Non,,inspra,nesp,nys,nys,nys
iocanlidic acid,Non,,iocarmic acid,disalicylic acid,ioglicic acid,diphenoxilic acid,iocetamic acid
ioxalan,1,,ioxilan,ioxilane,ioxaglic acid,ioxilanum,ioxitalamic acid
irinotecan hydrochloride,1,,irinotecan hcl,irinotecan,irinotecan [chemical/ingredient],irinotecan in parenteral dosage form,irinotecan (substance)
irocophan,Non,,irospan,irospan,irospan,irospan,irospan
iron amino acid chelate,Non,,iron oxide saccharated,iron oxide (saccharated),iron ammonium citrate,iron & folic acid,iron & folic acid
iruxol                             /00227001/,Non,,irofol,irofol,irofol,ircon,ircon
isodril,1,,isordil,isordil,isodur,isorbid,isorbid
isonal                             /00187301/,Non,,isonarif,isonarif,iso d,isoniazid,isoniazid 150 mg and rifampicin 300 mg/1 each oral capsule
ispaghula,1,,ispag husk,ispaghula/senna fruit,ispaghula/senna fruit,ispaghula/senna fruit,"ispaghula, combinations"
ispaghula husk,1,,ispag husk,ispaghula/senna fruit,ispaghula/senna fruit,ispaghula/senna fruit,"ispaghula, combinations"
joint fuel,Non,,joint-flex max,jinteli,jinteli,jinteli,jinteli
joint stabilisation,Non,,joint-flex daily,intal,intal,intal,intal
jointcare,Non,,joint-flex max,jinarc,jintan,folicare,oto care
jointflex                          /01758701/,Non,,joint-flex max,oflx,nflx,ifex,oflx
jonosteril,Non,,closteril,closteril,fostril,jinteli,jinteli
jonosteril                         /00351401/,Non,,oil,e,e,introl,introl
jonosteril                         /01263001/,Non,,oil,e,e,introl,introl
jorix,Non,,oraqix,oraqix,oraqix,oraqix,oraqix
jox,Non,,jod,joddeoxiuridin,joddeoxiuridin,joddeoxiuridin,jodum
juice plus,Non,,murine plus,murine plus,murine plus,ivomec plus,ivomec plus
juniperus communis,Non,,junifen,junifen,junifen,junifen,junifen
k-y jelly,Non,,k-lyte cl,k-lyte cl,kwell,k-lyte/cl,k-lyte/cl
kakkon-to,Non,,kaon,kaon-ci,kaon-cl,kaon-ci,kaon-cl
kaletra                            /01506501/,Non,,kaletra,kaleorid lp,kalten,katya,katya
kalinor-brausetabletten,Non,,karbolsaeure,karbolsaeure,karbolsaeure,karbolsaeure,kalziumkarbonat
kalioral                           /01164701/,Non,,kalbitor,ki,ki,aloral,alora
kalium-magnesium,Non,,kaliumiodid,kaliumiodid,kaliumiodid,kalium jodatum,kalium jodatum
kalium-magnesium-asparaginat,Non,,kaliumiodid,kaliumiodid,kaliumiodid,kalziumkarbonat,kalziumkarbonat
kaopectate                         /00140201/,1,,kaopectate,kaopectate 1-d,kaopek,kaopectate child,kaopectate (obsolete)
keltican,Non,,ketacine,keflin,ketamin,ketodan,ketodan
keltican                           /00619201/,Non,,kelanu xl,keflin,ki,keloc sr,etn
ketamine hydrochloride,2,,betaine hydrochloride,ketamine hcl,ketamine,aluminum hydroxychloride,aluminum hydroxychloride
kidoperi,Non,,kie,kie,kie,kie,kie
klinisalz b,Non,,klinoril,livial,alinia,clinisol 15,clinisol 15
kliogest,Non,,kliofem,kliofem,kliofem,kliofem,kliofem
kliogest                           /00686201/,Non,,kliofem,kliofem,kliofem,kliofem,kliofem
kodamid                            /00210701/,Non,,ki,ki,ki,dmi,kokain
kolantyl                           /00130401/,Non,,kolbam,koate,kokain,kokain,kokain
kombipak ii,Non,,komil,kombiglyze,kombiglyze,kovia,kovia
korean ginseng,Non,,kininogenase,kogenate,orbenin,kora liquid,rennie
korylan                            /01037001/,Non,,korlym,kordaron,ran,kokain,kokain
kyorin ap 2,Non,,ki,ki,ki,kynamro,kovia
lactec,Non,,lactase,lactocal,lactocal,lactrase,lactocal
lactec                             /00490001/,Non,,lactase,lactocal,lactocal,lactrase,lactocal
lactinex                           /00203201/,Non,,lactaid,lactoflavine,lactitol,lactrase,lactic acid
lactobacillus bifidus,Non,,lactobacillus fermentum,lactobacillus acidophilus/pectin oral capsule,lactocal,lactocal,lactocal
lactobacillus bulgaricus,Non,,lactobacillus casei factor,lactobacillus acidophilus/pectin oral capsule,lactocal,lactocal,lactocal
lactobacillus casei,Non,,lactobacillus casei factor,lactocal,lactocal,lactocal,lactocal
lactobacillus nos w/nicotinamide/pyridoxine h,Non,,lactobacillus casei factor,lactobacillus acidophilus/pectin oral capsule,"lactic acid, unspecified form","lactic acid producing organisms, combinations",lactocal
lactobacillus reuteri,Non,,lactobacillus fermentum,lactulose,lactocal,lactocal,lactocal
lactobacillus sporogenes,Non,,lactobacillus fermentum,lactobacillus acidophilus/pectin oral capsule,lactase oral solution,lactocal,lactocal
lactobyl,Non,,lactocal,lactocal,lactocal,lactocal,lactocal
lactomin,Non,,lactoflavin,lactoflavine,lactulosum,"lactulose, combinations",actamin
lafamme,Non,,laam,latamoxef,lapase,lacosamide,lamb
lamaline                           /01708901/,Non,,lamb,lamb,lamb,lamb,lamb
lamivudine w/nevirapine/stavudine,1,,lamivudine / nevirapine / stavudine,lamivudine / nevirapine / zidovudine,lamivudine and nevirapine and stavudine,lamivudine + zidovudine + nevirapine,lamivudina
landiolol hydrochloride,1,,landiolol,amlodipine / hydrochlorothiazide / valsartan,"lansoprazole, clarithromycin and tinidazole","lansoprazole, amoxicillin and clarithromycin","lansoprazole, amoxicillin and metronidazole"
lanoconazole,Non,,lansoprazole,lansoprazoles,lanoxin,lonazolac,lanacane
laropiprant,Non,,larodopa,largon,lariam,laronidase,laboprin
laryngarsol,Non,,laryngojet,laryngojet,laryngojet,largactil,garasol
laser treatment,Non,,lazer creme,lazer creme,lazer creme,lazer creme,lazer creme
lasix-k,1,,lasix,lasikal,lasix (tn),lasonil,latrix
latamoxef sodium,2,,latamoxefum,latamoxef,lyapolate sodium,latamoxef (substance),latanoprostum
lavandula angustifolia,Non,,lavandulae aetheroleum,lazanda,lazanda,lantus,lamivudine and raltegravir
lavandula latifolia oil,Non,,lavandulae aetheroleum,lazanda,lazanda,laki lorand factor,lanolin-mineral oil topical
laxbene,Non,,paxene,lax-ease,laxoberal,lasofoxifene,lamprene
lefax,Non,,lemlax,leucomax,leveraxo,lotemax,lflx
lefax                              /00282601/,Non,,ax,e,e,lflx,lflx
legalon,Non,,lergoban,legacy,legacy,legacy,legacy
lenoltec with codeine no 1,Non,,lenograstim (genetical recombination),lenoxin,fioricet with codeine,fioricet with codeine,fioricet with codeine
lentogesic                         /01351301/,Non,,lentinan,lentizol,etogesic,leg-gesic,leg-gesic
lespedin,Non,,levsin,l-ephedrine,l-ephedrine,l-ephedrine,l-ephedrine
leucogen,Non,,dulcogen,dulcogen,leucomycin a3,leuprorelin,neupogen
levocarnitine hydrochloride,1,,levocarnitine,levocarnitine acetyl,levocarnitin,levocarnitina,levocarnitinum
levocloperastine fendizoate,Non,,levocabastina,levocabastina,levonorgestrel preparation,levonorgestrel preparation,levora
levodopa w/benserazide,1,,levodopa,levodopa [chemical/ingredient],levophed bitartrate,levodopa (substance),levocabastin
levofloxacin hemihydrate,1,,levofloxacine,levofloxacine,levofloxacin,levofloxacin,levofloxacin [chemical/ingredient]
levofloxacin mesylate,1,,levofloxacine,levofloxacine,levofloxacin,levofloxacin,levofloxacinum
levomepromazine hydrochloride,1,,levomepromazine,levomeprom hcl,levomeprazine,levomepromazina,levomeprazin
levosalbutamol sulfate,Non,,levobunolol (substance),levora,levora,levora,levora
librax                             /00033301/,1,,librax,libritabs,librium,librax reformulated aug 2006,librax reformulated aug 2006
lidocaine hydrochloride/metamizole sodium,1,,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine
ligustrazine,Non,,listerine,listerine,isobutrazine,vistazine,lustra
limb immobilisation,Non,,limbitrol,limbitrol,libetist,libetist,"ampicillin, combinations"
limbitrol                          /00164901/,1,,limbitrol,limbitrol,lime-nitrogen,limifen,limovan
linitul,Non,,lipantil,libanil,linesterol,linesterol,linestrenol
link                               /00407101/,Non,,linde,lindan,linseed,linzess,lindane
lipactin,Non,,lipantil,lipanthyl,lipiarmicin,lipiarmycin,u-lactin
lipovitan                          /00197101/,Non,,lipostat,lipobay,lipofen,liposic,lipo pge1
litalgin                           /00320201/,Non,,litak,litarex,lta,lta,lta
liver hydrolysate,Non,,liver therapy drugs,"liver therapy, lipotropics",lido,lido,lido
livogen                            /00486801/,Non,,livostin,livostin,livocab,livocab,livalo
lobacin,Non,,lobac,lobac,oubain,laboprin,laboprin
lomifylline,Non,,bamifylline,lomefloxacine,lomefloxacine,lollicaine,lollicaine
lomotil                            /00034001/,1,,lomotil,lomotil,lomotil,lomocot,lomocot
longbalsem,Non,,longtec,flonase,flonase,flonase,long-acting sulfonamides
loratadine w/pseudoephedrine,1,,loratadine,loratadinum,"loratadine, micronized",loratadina,loratadine [chemical/ingredient]
lotrel                             /01289101/,1,,lotrel,lotrel,lotronex,lotrisone,lotrisone
lotrial d                          /06276001/,Non,,lotrel,lotrel,lotriderm,lotriderm,lotriderm
low molecular dextran l,Non,,lowacryl blue 9,lowacryl blue 9,low sodium plus,low sodium plus,low sodium plus
lumbro kinase,Non,,urokinase,luminal,abbokinase,lumiracoxib (substance),lumigan
lumefantrine,Non,,memantine,lumen c,memantin,ludent,ludent
lycopene,Non,,lycoremine,nycopren,nycopren,nycopren,tycolene
lymphomyosot                       /01357701/,Non,,lys,lh,mph,lymphocyte immune globulin anti-thymocyte globulin (equine),"lymphocyte immune globulin, anti-thymocyte globulin"
lyo-diamin,Non,,lonidamin,lonidamina,lonidamine,glycodiazine,lonidaminum
lysozyme chloride,1,,lysozyme,lysozyme,lysine acid,hydrogen chloride,hydrogen chloride
lysozyme hydrochloride,1,,lysozyme,lysozyme,lysodren,lysol healthy touch,lysteda
m.a.c. with anaesthetic,Non,,m.a.h.,m.a.h.,m.a.h.,other local anesthetics,macitentan
maalox                             /00091001/,1,,maalox,maalox,maalox,maalox tc,maalox max
macalvit                           /00129401/,Non,,macuvite,macuvite,macuvite,macuvite,macuvite
macleans mouthguard,Non,,manna sugar,manna sugar,manna sugar,manna sugar,magnesiocard (mag
macril                             /01630701/,Non,,macrogol,macrobid,macrogols,macilax,macilax
macro antioxidant,Non,,macrodantin,macrobid,"macrogol, combinations",macrolides,macrodex
macrosalb (99mtc),Non,,macrogol (substance),macrobid,marol,marol,macroherm
macu-vision,Non,,macuvite,macuvite,macuvite,macuvite,macuvite
madopar                            /00349201/,Non,,madopar,madopar cr,mapap,ado,maxepa
mag-lax,3,,mag-ox,mag-ox,magmilax,magmilax,magmilax
magnesia komp n,Non,,magnesia,magnesia,magnesia,magnesium carbonate,magnesium carbonate
magnesium citrate                  /00231901/,1,,magnesium citrate,magnesium citrate,magnesium citrate,magnesite,magnesium orotate
magnesium gluceptate,1,,magnesium gluconate,magnesium lactate,magnesium sulphate,magnesium sulphate,magnesium sulphate
magnesium oxidum leve,1,,magnesium oxide,magnesium oxide,magnesium oxide,magnesium oxide (mgo),magnesium oxide (mgo)
magnesium salicylate,magnesium,,magnesium silicate,magnesium lactate,magnesium sulfate,magnesium sulfate,magnesium sulfate
magnesium sulf./potassium chlo./sodium chlo.,1,,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat,magnesiumsulfat
magnesium verla                    /00648601/,1,,magnesium,magnesia,magnesia,magnesite,magnesiumsulfat
magnesol                           /01918801/,Non,,magnesia,magnesia,magnesia,maneo,maneo
magnetic therapy,Non,,magnesium hydrate,magnesium hydrate,magnesia,magnesite,magnesium sulphate
magnosolv,Non,,magnalox,magnalox,magnalox,mandol,magnesium pidolate
magnyl,Non,,magnalox,magnalox,magnalox,vaginyl,vaginyl
magnyl                             /02350501/,Non,,magnalox,magnalox,magnalox,magnacet,magnacet
maintelyt,Non,,manitol,mannite,manitol,mannite,manitol
malic acid,Non,,mandelic acid,mandelic acid,salic acid,salic acid,salic acid
maltose,Non,,malaseb,malaseb,malaseb,malaseb,malaseb
maoubushisaishintou,Non,,mao inhibitors,mao inhibitors and diuretics,mastussin,"mao a inhibitors, antidepressant drugs",maoson
marcain-adrenalin                  /00044301/,1,,marcaine,marcain,marcain heavy,marcillin,marcillin
marcaine with epinephrine          /00879801/,1,,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine,marcaine with epinephrine
mathoine,Non,,methoin,malathion,cathine,amethocaine,amethocaine
matuzumab,Non,,alemtuzumab,matzim,matzim,matzim la,matzim la
maxidex                            /00207701/,1,,maxidex,maxidex,maxidex,maxidex,maxidex
maxiplex,Non,,maxidex,maxidex,maxidex,maxidex,maxidex
maxitrol                           /00393601/,1,,maxitrol,maxitrol,maxitrol,maxitrol,maxitrol
maxmarvil,Non,,maxair,maxair,marax,marax,marax
mecysteine,Non,,metisene,meclastin,meclastin,meclastine,meclastine
medicinal leech application,Non,,medicinal charcoal,medicinal carbon,"medicinal charcoal, combinations",medibac clearing complex,medibac clearing complex
medilac-s,Non,,mediplast,mediplast,medilax,medicoal,medihaler-iso
mega b                             /02048801/,Non,,megace,megace,megace,mea,mega c acid plus
mega men,Non,,megace,megace,megace,megamilbedoce,mega-trim
meglumine gadoterate,,,meglumine antimonate,meglumine antimoniate,meglumine antimoniate (product),meglutol [chemical/ingredient],meglumine antimoniate (substance)
meiji sekidome,Non,,meijer,meijer,meijer,meijer,meijer
melilotus officinalis,Non,,meltus,meltus,meltus,meltus,mequinol topical
melissa officinalis,Non,,melitracen,melitracen and psycholeptics,melanoma,metossamina,melitracen (substance)
menopace                           /01548201/,Non,,menogen,menogen,menopur,mea,menostar
mentha x piperita,Non,,mentax,menthol-pramoxine topical,menthol-pramoxine topical,menthoderm,menthol in aq
mepronizine                        /00789201/,Non,,mepron,meprozine,meprozine,meprozine,mepranix
mepyramine maleate,1,,mepyramine mal,mepyramine,mepyramine,mepyramine theophyllinacetate,meprobamat
mercurous chloride,Non,,mercuric chloride,mercury bichloride,mercurochrome,mercuroclear,mercuroclear
meroken new,Non,,meropenem,meropenemum,meronem,merocets,merocets
meropenem trihydrate,1,,meropenem,meropenem (substance),meronem,meropenem [chemical/ingredient],meropenem in parenteral dosage form
mersyndol                          /00327201/,Non,,mersol,mersal,mersalyl,menadol,menadol
mersyndol                          /01137701/,Non,,mersol,mersal,mersalyl,menadol,menadol
metamizole sodium monohydrate,1,,metamizole sodium,metamizole sodium (product),"metamizole sodium, combinations with psycholeptics","metamizole sodium, combinations excl. psycholeptics",metizoline
metampicillin sodium,1,,metampicillin,methampicillin,meticillin,metamipicillin,methicillin
metamucil plus calcium,Non,,metampicillin,metacin,meta amsa,meta-amsa,metaglip
metaraminol tartrate,1,,metaraminol,metaraminol (substance),metaraminolum,aluminum acetotartrate,metaradrin
meteoxane,Non,,methoxamine,metixene,metergoline,methoxsalen,methoxsalen
metformin embonate,3,,metformina,metformine,metformin,metforminum,metforming
metformin w/rosiglitazone,1,,metformin / rosiglitazone,metformin/rosiglitazone,metformin-rosiglitazone,metformin / pioglitazone,metformin/pioglitazone
methopromazine,1,,methylpromazine,ethopropazine,methscopolamine,methscopolamine,methopyrapone
methylephedrine,Non,,methylcephaeline,methylperon,methylpred,methylphenidate,methylphenidan
methylephedrine hydrochloride-dl,Non,,methylin,methylphenidate hcl,methysoprinol,methylprednisolone,methylprednisolone
methylethylpiridinol,Non,,methyl triiodide,methyprylone,methylpred,methylatropine,methyltyrosine
methylethylpiridinol succinate,Non,,methylthioninium chloride,methylthioninium chloride,methylthioninium chloride stain,methylthioninium chloride stain,methylprednisolone topical
metoprolol fumarate,2,,metoprolol tart,metoprolol,metoprolol (substance),metoprolol and amlodipine,metoprolol and ivabradine
metpure ar,Non,,metipred,metipred,metipred,metaprel,metaprel
mexazolam,Non,,metazolamida,methazolamid,methazolamide,midazolam,methazolamidum
mexidol,Non,,mexitil,mexityl,medrol,medrol,medrol
mezlocillin sodium,2,,mezlocillinum,mezlocillin,mezlocilline,mezlocilina,mezlocillin (substance)
mezym,Non,,metazem,metazem,enzymax,enzymes,enzymes
mezym                              /00506801/,Non,,mzm,e,e,mezlin,mezzopram
microgel                           /01346401/,Non,,micrell,microval,micro-k,micro-k,microzide
microlax,Non,,microx,microval,microplasmin,micronase,micrhogam
microlax                           /00285401/,Non,,microx,microval,micro-k,micro-k,micrhogam
micropil plus,Non,,micrell,micro-k ls,micro-k ls,microbial collagenase,microluton
midrid                             /00450801/,1,,midrin,midrin,midrin,midetorin,midamor
migpriv                            /01310301/,Non,,migril,migrex,migrex,migrex,migard
migraeflux,Non,,migralex,migralex,migralex,migrex,migrafen
migraene-kranit                    /06401501/,Non,,migran-a,migran-a,migran-a,migrafen,migrafen
milgamma                           /00089801/,Non,,m,migramax,miloxicam,mil-par,migard
milgamma                           /01146701/,Non,,m,migramax,miloxicam,mil-par,migard
milgamma na                        /01350701/,Non,,m,milantex,milantex,milantex,miltown
minalgan,Non,,anglian,anglian,mindal,mindal,migranal
minerals nos w/vitamins nos,1,,mineral salts in combination,mineral oil,mineral oil oil,mineral oil oral oil,mineral oil oral solution
mist. expectorans                  /00291401/,Non,,mitran,mitotan,misofen,misofen,mtx
mist. pot. cit.,Non,,mistamine,mitomycin,miostat,miostat,mitotane
mitiglinide calcium,1,,mitiglinide,mitigare,mitride,mitride,mitride
mitoxantrone hydrochloride,1,,mitoxantrone,mitoxantrona,mitozantrone,mitoxantronum,mitoxantrone [chemical/ingredient]
mivacurium,1,,mivacurium chlor,mivacurium chloride,mivacron,mivacurium chloride (substance),micturin
mobizox,Non,,mobicox,mobic,mobiflex,mozobil,mobilan
mofezolac,Non,,moxeza,moxeza,mofebutazone,mofebutazone,motazol
mollipect,Non,,molap,molaxole,molative,molaxole,molative
monoplus                           /01505401/,Non,,monopril,monopost,monocal,monocal,monocal
monteplase,Non,,montelukast,montephen,montephen,montephen,montephen
montmorillonite,Non,,monopril,monosorbitrate,monuril,monoparin,monotrim
mopaday,Non,,madopa,modaplate,magdelay,magdelay,monuril paediatric
mopsoralen                         /00505001/,Non,,moperone,moxon,moban,oxsoralen,oxsoralen
moriamin                           /00583901/,Non,,moricizine,morinamide,morphia,morphin,morfina
moriamin                           /01381901/,Non,,moricizine,morinamide,morphia,morphin,morfina
movelat                            /00479601/,1,,movelat,movelat relief,moventig,mea,met
movicol                            /01749801/,1,,movicol,movicol,movicox,movicol plain,movicol plain
moxydar,Non,,modopar,moxeza,moxaverine,oxyrapid,mexar
mucaine                            /00115701/,Non,,mucinex,mucinex d,mucinex d,mucinex dm,mucinex dm
mucaltin                           /01366601/,Non,,mucinex,mucinex d,mucinex d,mucinex dm,mucinex dm
mucosyl,Non,,mucomyst,mucomyst,mucomyst,mucolex,mucogel
multibionta                        /00111701/,Non,,multibionta,multibionta,multibionta,multihist d,multihist d
multivitamin,Non,,multihistamine-d,multihistamine-d,multihistamine-d,multihistamine-d,multihistamine-d
multivitamin                       /00831701/,"multivitamins, plain",,multivitamin with iron,multivitamin with iron,multaq,"multivitamins, plain",multihistamine-d
multivitamin and mineral,multivitamins with minerals,,multivitamins and iron,multivitamins and iron,multivitamins and calcium,multivitamins and trace elements,"multivitamins, other combinations"
multivitamins with iron,1,,multivitamin with iron,multivitamin with iron,"multivitamins, plain","multivitamins, plain","multivitamins, other combinations"
multivitamins with minerals        /90003801/,1,,multivitamins with minerals,multivitamin with iron,"multivitamins, plain","multivitamins, plain","multivitamins, other combinations"
muscle relaxant therapy,1,,muscle relaxants,muscle relaxants,"muscle relaxants, peripherally acting agents","muscle relaxants, centrally acting agents","muscle relaxants, directly acting agents"
mycal,Non,,mycil,mycil,mycota,mycasone,mycasone
mylanta                            /00036701/,1,,mylanta,mylanta,mylanta,mylafent,mylagen
mylanta plus                       /01043301/,1,,mylanta,mylanta,mylanta,mylanta child,mylanta child
mylanta reflux,mylanta,,mylanta ar,mylanta ultra,mylanta ultra,mylanta ultra,mylanta ultra
myolaxin,Non,,myoxin,myoxin,myoxin,myoxin,myoxin
myoview                            /01238501/,Non,,myoxin,myoxin,myoxin,myoxin,myoxin
myprodol,Non,,prondol,mertodol,mertodol,mertodol,hyprosol
"myprodol ""rio ethicals""",Non,,metoprolol and thiazides,propranolol and thiazides,maprotiline hcl,myocet,myco biotic
nafamostat mesilate,Non,,nafarelin (substance),nafazair,nafazair,nafazair,nafarelin acet
nalbuphine hydrochloride,1,,nalbuphine hcl,nalbuphine,nalbuphin,nalbuphinum,nalbuphine [chemical/ingredient]
naloxone w/tilidine,1,,naloxone,naloxone,naloxone hcl,naloxone / oxycodone,naloxone [chemical/ingredient]
naltrexone hydrochloride,1,,naltrexone hcl,naltrexone,naltrexone methylbromide,naltrexone methobromide,naltrexon
narine,Non,,nafrinse,nafrinse,naturine,naropin,nafaréline
narine                             /01202601/,Non,,nariz,nariz,nariz,nariz,nariz
nedaplatin,Non,,nemdatine,nedeltran,dentapaine,dentapaine,dentapaine
nefazan compuesto,Non,,nefazodona,nefazodone,nefazodonum,nefazodone (substance),nefazodone hcl
neo angin,Non,,neo synephrine,neo synephrine,neo synephrine,neo synephrine,neo synephrine
neo-eunomin,Non,,neo-bendromax,neo-calglucon,neo-synephrine,neo-synephrine,neo-synephrine
neodolpasse                        /01305601/,Non,,neo-d,neosol,neopolydex,neopolydex,neopolydex
neosporin                          /00130801/,1,,neosporin,neosporin,neosporin af,neosporin af,neosporin af
neosporin eye and ear,neosporin,,neosporin af,neosporin af,neosporin af,neosporin af,neosporin af
neotracin                          /00038301/,Non,,neocin,neocin,neocin,neocin,neocin
neozep                             /00367901/,Non,,neozipine xl,neovet,neovet,neovet,neovet
nephro-vite,Non,,nephro-fer,nephro-fer,nephril,nephro-fer rx,nephro-fer rx
nephrotect,Non,,nephrox,nephrox,nephrocaps qt,nephrocaps qt,nephrocaps qt
neriproct,Non,,scheriproct,nerisona,nerisone,nerisona,nerisone
nerve block,Non,,nervine,nervine,nervocaine,nervocaine,nervocaine
neticonazole,Non,,fenticonazole,fenticonazole,fenticonazole nit,terconazole,econazole
neuraben,Non,,neurocaine,neurocaine,neurocaine,neurocaine,neutrexin
neurobion,Non,,neurobloc,neurocaine,neurocaine,neurocaine,neupro
neurobion                          /00176001/,Non,,neurobloc,neurocaine,neurocaine,neurocaine,neupro
neurobion forte,Non,,neuroforte-r,neurocaine,neurocaine,neurocaine,nerisone forte
neurobion forte                    /06411001/,Non,,neurocaine,neurocaine,neurocaine,neurocaine,neuromed
neurogrisevit                      /00091901/,Non,,neut,neut,neuromed,neuromed,neuromed
neurotonic,Non,,neurontin,neurocaine,neurocaine,neurocaine,neotic
neutra-phos                        /00555301/,Non,,neutraphor,neut,neutrahist,neutrahist,neutratop
neutra-phos-k                      /00599901/,Non,,neutraphor,neut,neutrahist,neutrahist,neutratop
new lecicarbon,1,,lecicarbon,newace,new day,new day,neo-decadron
nicotinic acid w/laropiprant,1,,nicotinic acid/laropiprant,nicotinic acid,nicotinic acid,nicotinic acid and lovastatin,nicotinic acid and derivatives
nif-ten,Non,,uni-tren,uni-tren,uni-tren,nifuratel,niftolide
nisita                             /01765101/,Non,,nilstat,nilstat,nilstat,nisoldipina,niatin
nite-time cold medicine,Non,,nitroprusside [chemical/ingredient],"nitric oxide, endothelium-derived","nitric oxide, endothelium derived",nitrous oxide [chemical/ingredient],nitric oxide [chemical/ingredient]
"nitrogen, liquid",2,,nitrogen lime,nitrogen,nitro bid,nitro bid,"nitrite, sodium"
nitroprusside sodium,1,,nitroprusside,nitroprusside (substance),nitropress,nitrous ox,nitrous oxide
noctran,Non,,nocturne,noctiva,conotrane,noctamid,norplant
noklot-cv,Non,,no,norlyroc,norlyroc,senokot-s,notuss-dc
nolotil                            /00473101/,Non,,no,nolix,noltam,nolahist,noludar
nonoxinol,Non,,noroxin,noroxin,nemonoxacin,novolin,novolin
norethisterone w/estrogens/,1,,norethisterone and estrogen,norethisterone and estrogen,norethisterone,norethisterone,norethisteron
norflox-tz,Non,,norfloxacin,norfloxacin,norfloxacine,norfloxacino,norfloxacine
norgesic                           /00070401/,1,,norgesic,norgesic,norgesic,norgesic,norgeston
norlestrin fe,Non,,norgestrienone,nerisone fte,norgestrel l,norgestrel l,norgeston
normacol                           /00119401/,1,,normacol,normacol,normasol,normasol,norco
normacol                           /06843301/,1,,normacol,normacol,normasol,normasol,norco
normalax                           /06848001/,1,,normax,normix,normasol,normasol,normalip
normensal,Non,,normatens,normasol,normasol,normasol,normalip
normhydral,Non,,normaloe,normasol,normasol,normasol,normalip
normoglaucon                       /01482401/,Non,,normax,normacol,normison,normosol r,normosol r
normosol,Non,,normosol-r,normosol r,normosol-m,normosol-r,normosol-r
notuss                             /01603401/,1,,notuss,notuss,notuss,notuss pd,notuss pe
novahistine dmx,1,,novahistine dh,novahistine dh,novahistine dh,novahistine dh,novahistine dh
novalucol novum,Non,,novacort,novacort,novacort,novacort,novacort
novaluzid,Non,,novaldex,novarel,novasus,novasus,norval
novolin                            /01449801/,1,,novolin,novolin,novolin,novolin,novolin
novomix,insulins and analogues,,novolin,novolin,novolin,novolin,novolin
novomix                            /01758401/,insulins and analogues,,novolin,novolin,novolin,novolin,novolin
novynette,Non,,ovranette,ovranette,ovranette,ovranette,ovranette
nucochem pediatric,1,,nucochem,nucochem,nucochem,hycophen pediatric,hycophen pediatric
nulytely                           /01053601/,1,,nulytely,nulytely,nulytely,nulytely,nulytely
nutren 1.0,Non,,nutropin,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii
nutriflex peri,Non,,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii,nutrilyte ii
obetrol,Non,,oestriol,oestriol,oestrogel,detrol,iotrol
obetrol                            /01345401/,Non,,obeticholic acid,obeticholic acid (substance),e,obenix,obephen
ocadrik,Non,,odrik,octadine,octadine,caldrink d,oxandrin
ocadrik                            /01507301/,Non,,odrik,ocaliva,cd,oc8,oris
occupational therapy,Non,,opatanol,octocaine,octocaine,octocaine,octocaine
